Name,Ticket Price,Top Prize,Odds,Original Tickets,Current Tickets,Expected Value,ROI,Total Prize Pool Remaining
double-doubler-3,1.0,"$5,000",1:4.90,2374236.2,1878184.7000000002,-0.39868001267394004,-39.86800126739401,1129390.0
piggy-bank-bucks,1.0,$500,1:4.87,2513450.83,1137042.73,-0.4019072616558571,-40.19072616558571,680057.0
3-times-lucky-3,1.0,"$3,000",1:4.75,19215664.25,11856427.5,-0.41194276269137564,-41.19427626913756,6972258.0
winner-winner-chicken-dinner,1.0,"$5,000",1:5.20,2741310.0,286260.0,-0.4458918465730455,-44.58918465730455,158619.0
extreme-payday,10.0,"$200,000",1:4.18,1125941.52,52337.78,-0.4475314008351141,-4.475314008351141,499955.0
1-lottery-ticket,1.0,"$5,000",1:4.67,3189558.63,461596.81,-0.46320686228312535,-46.32068622831254,247782.0
triple-tripler,1.0,"$5,000",1:4.99,2992378.25,303352.08,-0.46947124938124707,-46.94712493812471,160937.0
moola,1.0,"$5,000",1: 4.88,2516215.84,549161.04,-0.4760043429155135,-47.60043429155135,287758.0
lucky-doubler,2.0,"$20,000",1:4.47,1121956.5899999999,505029.54,-0.7106160166393436,-35.53080083196718,651177.0
25000-mad-money,2.0,"$25,000",1:4.69,1125098.1700000002,1125098.1700000002,-0.7313107086468729,-36.565535432343644,1427400.0
it-takes-2,2.0,"$20,000",1:4.65,1671874.9500000002,436542.00000000006,-0.7433145035300157,-37.165725176500786,548596.0
high-roller,2.0,"$20,000",1:4.53,1256273.1900000002,482109.78,-0.7487310462774683,-37.43655231387342,603249.0
mystery-multiplier,2.0,"$20,000",1:4.58,1677113.56,730729.84,-0.7528181413804038,-37.64090706902019,911353.0
easy-as-1-2-3,2.0,"$20,000",1:4.90,1971387.6,931225.4,-0.7550887250283338,-37.75443625141669,1159293.0
triple-play,2.0,"$20,000",1:4.69,1757633.7800000003,826861.0700000001,-0.756197337963922,-37.8098668981961,1028452.0
bring-the-heat,2.0,"$20,000",1:4.73,1584725.0100000002,826841.8400000001,-0.7569581626396653,-37.84790813198327,1027799.0
wonder-bucks,2.0,"$20,000",1:4.91,1707658.72,1031404.42,-0.758573285927939,-37.92866429639695,1280413.0
aces-high,2.0,"$20,000",1:4.35,1727876.5499999998,444478.64999999997,-0.7599246892960998,-37.99623446480499,551187.0
